PRODUTO	galpao	rua	coluna	altura	qtde
8627	9	A	1	1	8
8666	9	A	1	1	17
8667	9	A	1	1	4
8668	9	A	1	1	2
8582	9	A	1	2	3
8626	9	A	1	2	12
8358	9	A	1	3	8
9277	9	A	1	3	12
8588	9	A	1	4	11
8650	9	A	1	5	4
4310	10	A	1	1	181
5982	10	A	1	1	115
6982	10	A	1	1	5
10013	10	A	1	1	3
3581	11	1	1	1	8
4134	11	1	1	1	2
7702	11	1	1	1	9
7991	11	1	1	2	2
8819	11	1	1	2	3
10027	11	1	1	2	2
3600	11	1	1	3	1
5935	11	1	1	3	6
7693	11	1	1	3	4
3905	11	1	1	4	1
5829	11	1	1	4	18
6616	11	1	1	4	9
3598	11	1	1	5	1
3627	11	1	1	5	1
3668	11	1	1	5	1
3673	11	1	1	5	3
3674	11	1	1	5	1
3886	11	1	1	5	2
3992	11	2	1	1	9
4131	11	2	1	1	7
4761	11	2	1	1	10
7556	11	2	1	1	3
7557	11	2	1	1	60
4991	11	2	1	2	7
3784	11	2	1	2	8
3788	11	2	1	2	89
3789	11	2	1	2	11
3804	11	2	1	2	14
4990	11	2	1	2	4
5133	11	2	1	2	15
7273	11	2	1	2	15
7274	11	2	1	2	41
7275	11	2	1	2	54
7276	11	2	1	2	60
7324	11	2	1	2	5
8290	11	2	1	2	7
3766	11	2	1	3	45
3805	11	2	1	3	5
3806	11	2	1	3	6
3841	11	2	1	3	2
3891	11	2	1	3	5
3985	11	2	1	3	8
3987	11	2	1	3	1
3995	11	2	1	3	4
3999	11	2	1	3	4
4021	11	2	1	3	8
5230	11	2	1	3	21
7079	11	2	1	3	2
4007	11	2	1	4	8
4292	11	2	1	4	12
6408	11	2	1	4	28
7008	11	2	1	4	31
8291	11	2	1	4	13
8292	11	2	1	4	5
3818	11	2	1	5	10
3984	11	2	1	5	2
3990	11	2	1	5	5
7321	11	2	1	5	3
7322	11	2	1	5	2
7323	11	2	1	5	5
7429	11	2	1	5	3
7620	11	2	1	5	6
8703	11	2	1	5	3
3595	11	3	1	1	9
7677	11	3	1	1	12
4019	11	3	1	2	9
5785	11	3	1	2	1
7966	11	3	1	2	13
8203	11	3	1	2	11
8351	11	3	1	2	7
3819	11	3	1	3	6
3986	11	3	1	3	2
4013	11	3	1	3	3
4994	11	3	1	3	2
5501	11	3	1	3	6
4020	11	3	1	4	24
4652	11	3	1	4	2
5531	11	3	1	4	4
5857	11	3	1	4	1
8835	11	3	1	4	1
3997	11	3	1	5	20
5646	11	3	1	5	1
8293	11	3	1	5	4
9988	11	3	1	5	4
10258	11	3	1	5	4
4480	11	4	1	1	15
4484	11	4	1	1	26
4486	11	4	1	1	7
4482	11	4	1	2	4
5122	11	4	1	2	2
6420	11	4	1	2	1
4485	11	4	1	3	32
4487	11	4	1	3	6
8053	11	4	1	3	4
4481	11	4	1	4	16
4483	11	4	1	4	10
8733	11	4	1	4	11
8378	11	5	1	1	5
8730	11	5	1	1	4
8731	11	5	1	1	2
8371	11	5	1	2	3
8373	11	5	1	3	4
7695	9	B	1	1	2
7696	9	B	1	1	1
7697	9	B	1	1	1
4639	9	B	1	2	4
4641	9	B	1	2	2
4642	9	B	1	2	4
4643	9	B	1	2	3
3565	9	B	1	3	5
3620	9	B	1	3	8
7131	9	B	1	3	24
7147	9	B	1	3	5
7675	9	B	1	3	8
4453	9	B	1	4	3
5140	9	B	1	4	26
5144	9	B	1	4	12
6976	9	B	1	4	4
7419	9	B	1	4	9
7420	9	B	1	4	25
3677	9	B	1	5	4
4309	9	B	1	5	3
3604	12	1	1	1	24
3606	12	1	1	1	22
5338	12	1	1	1	11
8554	12	1	1	1	17
4451	12	2	1	1	36
6413	12	2	1	1	6
8647	12	2	1	1	19
8656	12	2	1	1	4
8662	12	2	1	1	4
9647	12	2	1	1	16
4010	12	3	1	1	1
4474	12	3	1	1	8
6796	12	3	1	1	9
7056	12	3	1	1	4
3583	12	4	1	1	2
4259	12	4	1	1	4
4261	12	5	1	1	5
4262	12	5	1	1	4
4263	12	6	1	1	3
4266	12	6	1	1	5
4315	9	C	1	1	8
7279	9	C	1	1	10
8453	9	C	1	1	2
3633	9	C	1	2	3
3662	9	C	1	2	1
4448	9	C	1	2	4
5204	9	C	1	2	1
5517	9	C	1	2	2
7396	9	C	1	2	1
7896	9	C	1	2	5
7902	9	C	1	2	1
3576	9	C	1	3	4
3582	9	C	1	3	3
3591	9	C	1	3	2
3616	9	C	1	3	1
3624	9	C	1	3	3
4206	9	C	1	3	4
4370	9	C	1	3	2
8875	9	C	1	3	3
9192	9	C	1	3	5
9299	9	C	1	3	2
3640	9	C	1	4	5
3641	9	C	1	4	2
3645	9	C	1	4	6
3651	9	C	1	4	7
3652	9	C	1	4	3
3655	9	C	1	4	2
3656	9	C	1	4	5
3663	9	C	1	4	9
4271	9	C	1	4	6
3644	9	C	1	4	7
3623	9	C	1	5	12
5496	9	C	1	5	3
8743	9	C	1	5	3
8784	9	C	1	5	3
5955	9	D	1	1	2
5957	9	D	1	1	2
9395	9	D	1	1	2
10219	9	D	1	2	13
10220	9	D	1	2	2
10221	9	D	1	3	3
10222	9	D	1	3	3
10214	9	D	1	4	21
10215	9	D	1	4	9
9839	9	D	1	5	2
8945	9	E	1	1	2
9236	9	E	1	1	1
9237	9	E	1	2	1
9238	9	E	1	2	2
7967	9	E	1	3	1
7975	9	E	1	3	9
5527	9	E	1	4	4
7055	9	E	1	4	3
9676	9	E	1	4	1
4264	9	E	1	5	2
4265	9	E	1	5	5
9316	9	F	1	5	1
4258	9	F	1	3	1
10366	9	F	1	3	15
4003	9	F	1	4	1
10044	9	G	1	1	6
10045	9	G	1	1	8
10054	9	G	1	2	2
10055	9	G	1	2	44
10056	9	G	1	2	46
10057	9	G	1	2	4
10058	9	G	1	2	4
7380	14	1	1	1	940
4022	15	1	1	1	127
4281	15	1	1	1	3072
7371	15	1	1	1	50000
8080	15	1	1	1	1
3595	15	2	1	1	15
3973	15	2	1	1	5
6791	15	2	1	1	16
7268	15	2	1	1	51
9336	15	2	1	1	2
7269	15	3	1	1	95
7812	15	3	1	1	1
8625	15	3	1	1	5
9641	15	3	1	1	50
7535	15	4	1	1	50
8113	15	4	1	1	4
3599	15	5	1	1	7
10366	15	5	1	1	300